word1,word2,score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
chord,smile,0.54,0.9434,0.9496,0,0,0.0,0,0,0,,11,7
closet,clothes,8.0,0.9427,1.0,0,0,0.0,0,0,0,,8,7
coast,forest,3.15,0.9635,0.9514,0,0,0.0,0,0,0,,8,5
coast,hill,4.38,0.9635,0.935,0,0,0.0,0,0,0,,8,4
company,stock,7.08,0.9389,0.9407,0,0,0.0,0,0,0,,9,11
competition,price,6.44,0.9552,0.9638,0,0,0.0,0,0,0,,7,10
computer,internet,7.58,0.944,0.9512,0,0,0.0,0,0,0,,6,8
computer,keyboard,7.62,0.944,0.9838,0,0,0.0,0,0,0,,6,9
computer,laboratory,6.78,0.944,0.9593,0,0,0.0,0,0,0,,6,6
computer,news,4.47,0.944,0.9251,0,0,0.0,0,0,0,,6,10
computer,software,8.5,0.944,0.9307,0,0,0.0,0,0,0,,6,8
concert,virtuoso,6.81,0.9624,0.9397,0,0,0.0,0,0,0,,10,6
consumer,confidence,4.13,0.9326,0.9583,0,0,0.0,0,0,0,,10,8
consumer,energy,4.75,0.9326,0.9509,0,0,0.0,0,0,0,,10,7
country,citizen,7.31,0.9341,0.9421,0,2,0.027027,0,1,1,,7,8
crane,implement,2.69,0.9336,0.9377,0,0,0.0,0,0,0,,9,8
credit,card,8.06,0.9421,0.9298,0,0,0.0,0,0,0,,9,16
credit,information,5.31,0.9421,0.9592,0,0,0.0,0,0,0,,9,7
cup,article,2.4,0.9459,0.9772,0,0,0.0,0,0,0,,12,9
cup,coffee,6.58,0.9459,0.9341,0,0,0.0,0,0,0,,12,10
cup,drink,7.25,0.9459,0.988,0,3,0.035714,0,0,0,,12,8
cup,food,5.0,0.9459,1.0,0,0,0.0,0,0,0,,12,7
cup,liquid,5.9,0.9459,0.9881,0,0,0.0,0,0,0,,12,10
cup,substance,1.92,0.9459,0.9592,0,0,0.0,0,0,0,,12,6
currency,market,7.5,0.9511,0.932,0,0,0.0,0,0,0,,9,11
day,dawn,7.53,1.0,0.9879,0,1,0.018519,0,0,0,,11,6
day,summer,3.94,1.0,0.9636,0,0,0.0,0,0,0,,11,7
death,inmate,5.03,0.98,0.935,0,0,0.0,0,0,0,,10,7
death,row,5.25,0.98,0.9153,0,0,0.0,0,0,0,,10,10
decoration,valor,5.63,0.9509,0.9247,0,0,0.0,0,0,0,,7,11
delay,news,3.31,0.9458,0.9251,0,0,0.0,0,0,0,,8,10
delay,racism,1.19,0.9458,0.9512,0,0,0.0,0,0,0,,8,6
deployment,departure,4.25,0.9437,1.0,0,0,0.0,0,0,0,,10,6
deployment,withdrawal,5.88,0.9437,0.9544,0,0,0.0,0,0,0,,10,10
development,issue,3.97,0.9801,0.9141,0,0,0.0,0,0,0,,8,9
direction,combination,2.25,0.9665,0.9463,0,0,0.0,0,0,0,,11,7
disability,death,5.47,0.9583,0.98,0,0,0.0,0,0,0,,9,10
disaster,area,6.25,0.9342,0.9257,0,0,0.0,0,0,0,,11,7
discovery,space,6.34,1.0,0.971,0,0,0.0,0,0,0,,8,7
dividend,calculation,6.48,0.9398,0.9309,0,0,0.0,0,0,0,,8,7
doctor,liability,5.19,0.9465,0.9406,0,0,0.0,0,0,0,,9,8
dollar,loss,6.09,0.9425,0.9642,0,0,0.0,0,0,0,,7,9
dollar,profit,7.38,0.9425,0.9422,0,0,0.0,0,0,0,,7,8
drink,car,3.04,0.988,0.9492,0,0,0.0,0,0,0,,8,6
drink,ear,1.31,0.988,1.0,0,0,0.0,0,0,0,,8,7
drink,mother,2.65,0.988,1.0,0,0,0.0,0,0,0,,8,8
drink,mouth,5.96,0.988,1.0,0,0,0.0,0,0,0,,8,7
drug,abuse,6.85,0.955,0.9412,0,0,0.0,0,0,0,,9,5
energy,crisis,5.94,0.9509,0.952,0,0,0.0,0,0,0,,7,8
energy,laboratory,5.09,0.9509,0.9593,0,0,0.0,0,0,0,,7,6
energy,secretary,1.81,0.9509,0.9624,0,0,0.0,0,0,0,,7,7
environment,ecology,8.81,0.9492,0.9697,3,6,0.076923,0,0,0,,8,10
equipment,maker,5.91,0.9435,0.8948,0,0,0.0,0,0,0,,9,10
exhibit,memorabilia,5.31,0.9517,0.8594,0,0,0.0,0,0,0,,8,14
experience,music,3.47,0.9296,0.979,0,0,0.0,0,0,0,,6,9
family,planning,6.25,0.9547,0.9406,0,0,0.0,0,0,0,,6,8
fbi,fingerprint,6.94,0.8307,0.9567,0,0,0.0,0,0,0,,10,9
fbi,investigation,8.31,0.8307,0.9481,0,0,0.0,0,0,0,,10,9
fertility,egg,6.69,0.9572,0.963,0,0,0.0,0,0,0,,8,9
fighting,defeating,7.41,0.9332,0.961,0,0,0.0,0,0,0,,10,11
five,month,3.38,1.0,0.9847,0,0,0.0,0,0,0,,6,9
focus,life,4.06,0.9539,0.9683,0,0,0.0,0,0,0,,10,9
food,preparation,6.22,1.0,0.9436,0,0,0.0,0,0,0,,7,11
forest,graveyard,1.85,0.9514,0.9534,0,0,0.0,0,0,0,,5,8
game,defeat,6.97,0.9677,0.9537,0,0,0.0,0,0,0,,11,9
game,round,5.97,0.9677,0.9397,0,0,0.0,0,0,0,,11,7
game,series,6.19,0.9677,0.9657,0,0,0.0,0,0,0,,11,7
game,team,7.69,0.9677,0.9348,0,0,0.0,0,0,0,,11,8
game,victory,7.03,0.9677,0.9473,0,0,0.0,0,0,0,,11,10
gender,equality,6.41,0.957,0.9893,0,0,0.0,0,0,0,,6,4
glass,magician,2.08,0.9827,0.9436,0,0,0.0,0,0,0,,7,6
government,crisis,6.56,0.9543,0.952,0,0,0.0,0,0,0,,8,8
governor,interview,3.25,0.9464,0.9405,0,0,0.0,0,0,0,,7,13
governor,office,6.34,0.9464,0.9373,0,0,0.0,0,0,0,,7,7
grocery,money,5.94,0.9322,1.0,0,0,0.0,0,0,0,,8,7
holy,sex,1.62,0.9339,0.9453,0,0,0.0,0,0,0,,9,7
hotel,reservation,8.03,0.9284,0.9268,0,0,0.0,0,0,0,,12,10
hundred,percent,7.38,1.0,0.9503,0,0,0.0,0,0,0,,10,7
image,surface,4.56,0.923,0.9839,0,0,0.0,0,0,0,,8,8
impartiality,interest,5.16,0.9651,0.9719,0,0,0.0,0,0,0,,6,6
investigation,effort,4.59,0.9481,0.9279,0,0,0.0,0,0,0,,9,7
investor,earning,7.13,0.9481,0.9336,0,0,0.0,0,0,0,,7,9
jerusalem,israel,8.46,0.852,0.8664,3,32,0.271186,0,0,0,,12,14
jerusalem,palestinian,7.65,0.852,0.8507,0,2,0.017857,0,0,0,,12,9
journal,association,4.97,0.9395,0.9505,0,0,0.0,0,0,0,,10,9
journey,car,5.85,0.9022,0.9492,0,0,0.0,0,0,0,,9,6
king,cabbage,0.23,0.9605,0.9495,0,0,0.0,0,0,0,,6,10
lad,brother,4.46,0.9534,0.9887,0,0,0.0,0,0,0,,5,8
lad,wizard,0.92,0.9534,0.9458,0,0,0.0,0,0,0,,5,8
law,lawyer,8.38,0.9861,0.9422,0,0,0.0,0,0,0,,8,11
lawyer,evidence,6.69,0.9422,0.9859,0,0,0.0,0,0,0,,11,9
liability,insurance,7.03,0.9406,0.9617,0,0,0.0,0,0,0,,8,7
life,lesson,5.94,0.9683,0.9352,0,0,0.0,0,0,0,,9,7
life,term,4.5,0.9683,0.9343,0,0,0.0,0,0,0,,9,10
line,insurance,2.69,0.9563,0.9617,0,0,0.0,0,0,0,,6,7
listing,category,6.38,0.9024,0.952,0,0,0.0,0,0,0,,7,7
listing,proximity,2.56,0.9024,0.9728,0,0,0.0,0,0,0,,7,7
love,sex,6.77,0.9791,0.9453,0,0,0.0,0,0,0,,10,7
lover,quarrel,6.19,0.946,0.9558,0,0,0.0,0,0,0,,10,7
luxury,car,6.47,0.9549,0.9492,0,0,0.0,0,0,0,,8,6
maradona,football,8.62,0.8209,0.949,0,0,0.0,0,0,0,,10,8
mars,scientist,5.63,0.8665,0.9441,0,0,0.0,0,0,0,,13,9
mars,water,2.94,0.8665,1.0,0,0,0.0,0,0,0,,13,10
media,gain,2.88,0.952,0.9465,0,0,0.0,0,0,0,,8,11
media,trading,3.88,0.952,0.9294,0,0,0.0,0,0,0,,8,11
minister,party,6.63,0.9533,0.9344,0,0,0.0,0,0,0,,6,13
ministry,culture,4.69,0.9319,0.9605,0,0,0.0,0,0,0,,9,9
minority,peace,3.69,0.9338,0.9406,0,0,0.0,0,0,0,,7,9
money,bank,8.5,1.0,0.9346,0,0,0.0,0,0,0,,7,11
money,deposit,7.73,1.0,0.9592,0,0,0.0,0,0,0,,7,8
money,laundering,5.65,1.0,0.9024,0,0,0.0,0,0,0,,7,10
money,operation,3.31,1.0,0.933,0,0,0.0,0,0,0,,7,3
money,possession,7.29,1.0,0.9876,0,0,0.0,0,0,0,,7,8
money,property,7.57,1.0,0.9452,0,0,0.0,0,0,0,,7,10
money,wealth,8.27,1.0,0.9474,0,2,0.031746,0,0,0,,7,7
money,withdrawal,6.88,1.0,0.9544,0,0,0.0,0,0,0,,7,10
monk,oracle,5.0,0.9529,0.9277,0,0,0.0,0,0,0,,9,6
monk,slave,0.92,0.9529,1.0,0,0,0.0,0,0,0,,9,9
month,hotel,1.81,0.9847,0.9284,0,0,0.0,0,0,0,,9,12
morality,importance,3.31,0.9732,0.946,0,0,0.0,0,0,0,,8,7
morality,marriage,3.69,0.9732,0.9624,0,0,0.0,0,0,0,,8,8
movie,critic,6.73,0.9167,0.9432,0,0,0.0,0,0,0,,11,9
movie,popcorn,6.19,0.9167,0.9225,0,0,0.0,0,0,0,,11,4
movie,star,7.38,0.9167,0.9459,0,0,0.0,0,0,0,,11,8
movie,theater,7.92,0.9167,0.947,0,0,0.0,0,0,0,,11,7
music,project,3.63,0.979,0.9115,0,0,0.0,0,0,0,,9,7
nature,environment,8.31,0.9832,0.9492,0,0,0.0,0,0,0,,7,8
nature,man,6.25,0.9832,0.9682,0,0,0.0,0,0,0,,7,8
network,hardware,8.31,0.9233,0.96,0,0,0.0,0,0,0,,11,8
news,report,8.16,0.9251,0.9216,0,0,0.0,0,0,0,,10,7
noon,string,0.54,0.9603,0.9455,0,0,0.0,0,0,0,,7,5
observation,architecture,4.38,0.9866,0.9523,0,0,0.0,0,0,0,,8,10
oil,stock,6.34,0.9461,0.9407,0,0,0.0,0,0,0,,11,11
opec,country,5.63,0.8499,0.9341,0,0,0.0,0,0,0,,13,7
opec,oil,8.59,0.8499,0.9461,0,0,0.0,0,0,0,,13,11
opera,industry,2.63,0.9422,0.9545,0,0,0.0,0,0,0,,6,9
peace,atmosphere,3.69,0.9406,0.9913,0,0,0.0,0,0,0,,9,6
peace,insurance,2.94,0.9406,0.9617,0,0,0.0,0,0,0,,9,7
peace,plan,4.75,0.9406,0.9302,0,0,0.0,0,0,0,,9,9
physics,proton,8.12,0.9422,0.9567,0,0,0.0,0,0,0,,9,7
planet,astronomer,7.94,0.9538,0.9429,0,0,0.0,0,0,0,,9,8
planet,constellation,8.06,0.9538,0.9561,0,0,0.0,0,0,0,,9,7
planet,galaxy,8.11,0.9538,0.9404,0,0,0.0,0,0,0,,9,8
planet,people,5.75,0.9538,0.9741,0,0,0.0,0,0,0,,9,6
planet,space,7.92,0.9538,0.971,0,0,0.0,0,0,0,,9,7
population,development,3.75,0.9424,0.9801,0,0,0.0,0,0,0,,11,8
possibility,girl,1.94,0.9465,0.9076,0,0,0.0,0,0,0,,9,9
practice,institution,3.19,0.9323,0.9623,0,0,0.0,0,0,0,,7,8
precedent,cognition,2.81,0.9654,0.9647,0,0,0.0,0,0,0,,10,8
precedent,collection,2.5,0.9654,0.9444,0,0,0.0,0,0,0,,10,7
precedent,group,1.77,0.9654,0.9504,0,0,0.0,0,0,0,,10,9
precedent,information,3.85,0.9654,0.9592,0,0,0.0,0,0,0,,10,7
precedent,law,6.65,0.9654,0.9861,0,0,0.0,0,0,0,,10,8
prejudice,recognition,3.0,0.9663,0.9597,0,0,0.0,0,0,0,,8,7
preservation,world,6.19,0.944,0.9781,0,0,0.0,0,0,0,,8,6
president,medal,3.0,0.9133,0.9485,0,0,0.0,0,0,0,,9,10
problem,airport,2.38,0.9774,0.9584,0,0,0.0,0,0,0,,11,6
problem,challenge,6.75,0.9774,0.9534,0,0,0.0,0,0,0,,11,6
production,crew,6.25,1.0,0.9363,0,0,0.0,0,0,0,,7,7
production,hike,1.75,1.0,0.9296,0,0,0.0,0,0,0,,7,10
professor,cucumber,0.31,0.9507,0.9532,0,0,0.0,0,0,0,,6,9
profit,warning,3.88,0.9422,0.9316,0,0,0.0,0,0,0,,8,7
psychology,anxiety,7.0,0.9806,0.9492,0,0,0.0,0,0,0,,10,6
psychology,clinic,6.58,0.9806,0.9512,0,0,0.0,0,0,0,,10,9
psychology,cognition,7.48,0.9806,0.9647,0,0,0.0,0,0,0,,10,8
psychology,depression,7.42,0.9806,0.9599,0,0,0.0,0,0,0,,10,11
psychology,doctor,6.42,0.9806,0.9465,0,0,0.0,0,0,0,,10,9
psychology,fear,6.85,0.9806,1.0,0,0,0.0,0,0,0,,10,8
psychology,freud,8.21,0.9806,0.8767,0,0,0.0,0,0,0,,10,10
psychology,health,7.23,0.9806,0.9763,0,0,0.0,0,0,0,,10,9
psychology,mind,7.69,0.9806,0.9708,0,1,0.013158,0,0,0,,10,11
reason,criterion,5.91,0.9414,0.9255,0,0,0.0,0,0,0,,7,6
reason,hypertension,2.31,0.9414,0.9624,0,0,0.0,0,0,0,,7,7
record,number,6.31,0.9326,0.9241,0,0,0.0,0,0,0,,9,6
registration,arrangement,6.0,0.9707,0.946,0,0,0.0,0,0,0,,7,7
report,gain,3.63,0.9216,0.9465,0,0,0.0,0,0,0,,7,11
rooster,voyage,0.62,0.9549,0.9081,0,0,0.0,0,0,0,,8,8
school,center,3.44,0.9442,0.9783,0,0,0.0,0,0,0,,9,6
seafood,sea,7.47,0.932,0.955,0,0,0.0,0,0,0,,10,7
secretary,senate,5.06,0.9624,0.9049,0,0,0.0,0,0,0,,7,7
seven,series,3.56,1.0,0.9657,0,0,0.0,0,0,0,,6,7
shore,woodland,3.08,0.9669,0.9416,0,0,0.0,0,0,0,,6,8
shower,flood,6.03,0.9412,0.9549,0,0,0.0,0,0,0,,11,6
sign,recess,2.38,0.9419,0.9395,0,0,0.0,0,0,0,,6,8
situation,conclusion,4.81,0.9433,0.9687,0,0,0.0,0,0,0,,9,7
situation,isolation,3.88,0.9433,0.9607,0,0,0.0,0,0,0,,9,7
size,prominence,5.31,0.9767,0.9459,0,0,0.0,0,0,0,,8,7
smart,student,4.62,0.9673,0.953,0,0,0.0,0,0,0,,9,6
soap,opera,7.94,0.9409,0.9422,0,0,0.0,0,0,0,,9,6
space,chemistry,4.88,0.971,0.947,0,0,0.0,0,0,0,,7,12
space,world,6.53,0.971,0.9781,0,0,0.0,0,0,0,,7,6
start,match,4.47,0.9406,0.9291,0,0,0.0,0,0,0,,9,7
start,year,4.06,0.9406,0.9402,0,0,0.0,0,0,0,,9,7
stock,cd,1.31,0.9407,0.8593,0,0,0.0,0,0,0,,11,12
stock,egg,1.81,0.9407,0.963,0,0,0.0,0,0,0,,11,9
stock,jaguar,0.92,0.9407,1.0,0,0,0.0,0,0,0,,11,6
stock,life,0.92,0.9407,0.9683,0,0,0.0,0,0,0,,11,9
stock,live,3.73,0.9407,0.9481,0,0,0.0,0,0,0,,11,8
stock,market,8.08,0.9407,0.932,0,0,0.0,0,0,0,,11,11
stock,phone,1.62,0.9407,0.9788,0,0,0.0,0,0,0,,11,10
street,children,4.94,0.9691,0.9792,0,0,0.0,0,0,0,,8,6
stroke,hospital,7.03,0.9569,0.9565,0,0,0.0,0,0,0,,8,8
sugar,approach,0.88,0.9879,0.9465,0,0,0.0,0,0,0,,7,9
summer,drought,7.16,0.9636,0.9892,0,0,0.0,0,0,0,,7,7
summer,nature,5.63,0.9636,0.9832,0,0,0.0,0,0,0,,7,7
telephone,communication,7.5,0.9684,0.947,0,0,0.0,0,0,0,,8,6
television,film,7.72,0.9533,0.9402,0,0,0.0,0,0,0,,10,11
tennis,racket,7.56,0.9476,0.9026,1,7,0.104478,1,0,1,,7,10
territory,kilometer,5.28,0.9612,0.9482,0,0,0.0,0,0,0,,9,6
territory,surface,5.34,0.9612,0.9839,0,0,0.0,0,0,0,,9,8
theater,history,3.91,0.947,0.9979,0,0,0.0,0,0,0,,7,7
tiger,zoo,5.87,0.9552,0.9337,0,0,0.0,0,0,0,,9,9
tool,implement,6.46,0.9426,0.9377,0,0,0.0,0,0,0,,9,8
treatment,recovery,7.91,0.9734,0.991,0,0,0.0,0,0,0,,6,8
victim,emergency,6.47,0.9407,0.9488,0,0,0.0,0,0,0,,10,7
video,archive,6.34,0.9301,0.9175,0,0,0.0,0,0,0,,7,8
viewer,serial,2.97,0.9071,0.9614,0,0,0.0,0,0,0,,8,6
volunteer,motto,2.56,0.9517,0.9556,0,0,0.0,0,0,0,,11,6
war,troops,8.13,0.9449,0.9247,0,0,0.0,1,0,1,,7,12
water,seepage,6.56,1.0,0.9421,0,0,0.0,0,0,0,,10,5
weapon,secret,6.06,0.939,0.9594,0,0,0.0,0,0,0,,7,7
weather,forecast,8.34,0.9556,0.9418,0,0,0.0,0,0,0,,8,6
wednesday,news,2.22,0.8512,0.9251,0,0,0.0,0,0,0,,8,10
word,similarity,4.75,0.9867,0.9457,0,0,0.0,0,0,0,,7,6
