word1,word2,pos,simlex_score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
dirty,narrow,A,0.3,0.943,0.9607,0,0,0.0,0,0,0,,10,8
wife,husband,N,2.3,0.9684,0.9409,0,2,0.036364,1,1,1,12,10,8
book,text,N,6.35,1.0,0.9471,0,0,0.0,0,0,0,,10,7
groom,bride,N,3.17,0.9388,0.9412,0,1,0.018182,0,0,0,,7,6
night,day,N,1.88,0.9502,1.0,0,0,0.0,0,0,0,,7,11
south,north,N,2.2,0.9716,0.971,0,1,0.027027,1,0,1,13,5,9
plane,airport,N,3.65,0.9462,0.9584,0,1,0.018182,0,0,0,,7,6
uncle,aunt,N,5.5,0.9559,0.9638,0,1,0.02,1,0,1,13,7,4
horse,mare,N,8.33,1.0,0.9409,3,15,0.220588,1,0,1,,7,7
bottom,top,N,0.7,0.9591,0.9178,0,2,0.033333,0,0,0,,7,7
friend,buddy,N,8.78,1.0,0.9601,3,11,0.174603,1,0,1,,8,8
student,pupil,N,9.35,0.953,0.9456,0,3,0.043478,0,0,0,,6,4
world,globe,N,6.67,0.9781,0.9481,0,0,0.0,0,0,0,,6,7
leg,arm,N,2.88,0.9445,0.9436,0,0,0.0,0,0,0,,12,10
plane,jet,N,8.1,0.9462,0.9464,0,0,0.0,0,0,0,,7,12
woman,man,N,3.33,0.979,0.9682,0,2,0.032258,1,1,1,11,7,8
horse,colt,N,7.07,1.0,0.924,0,0,0.0,0,0,0,,7,9
actress,actor,N,7.12,0.941,0.9196,0,4,0.057143,1,0,1,,7,7
teacher,instructor,N,9.25,0.9866,0.9392,2,9,0.132353,1,0,1,,10,7
movie,film,N,8.87,0.9167,0.9402,0,6,0.065217,0,0,0,,11,11
bird,hawk,N,7.85,0.9865,0.9326,0,0,0.0,0,0,0,,7,11
word,dictionary,N,3.68,0.9867,0.9539,0,0,0.0,0,0,0,,7,8
money,salary,N,7.88,1.0,0.8891,0,0,0.0,0,0,0,,7,13
dog,cat,N,1.75,1.0,0.9404,0,0,0.0,0,0,0,,6,7
area,region,N,9.47,0.9257,0.9747,1,2,0.025974,0,1,1,,7,8
navy,army,N,6.43,0.9898,0.9698,0,0,0.0,0,0,0,,11,6
book,literature,N,7.53,1.0,0.9492,0,0,0.0,0,0,0,,10,9
clothes,closet,N,3.27,1.0,0.9427,0,0,0.0,0,0,0,,7,8
sunset,sunrise,N,2.47,0.9782,0.9627,1,10,0.263158,1,1,1,11,7,5
child,adult,N,2.98,1.0,0.9871,0,0,0.0,0,0,0,,7,10
cow,cattle,N,9.52,0.9502,0.9838,8,14,0.304348,0,0,0,,7,8
book,story,N,5.63,1.0,0.9087,0,0,0.0,0,0,0,,10,1
winter,summer,N,2.38,0.9503,0.9636,0,1,0.021277,0,0,0,,7,7
taxi,cab,N,9.2,0.9518,0.95,2,8,0.095238,0,1,1,13,14,8
tree,maple,N,5.53,0.9404,0.9505,0,0,0.0,0,0,0,,11,12
bed,bedroom,N,3.4,0.9806,0.9668,2,8,0.123077,1,0,1,,7,8
roof,ceiling,N,7.58,0.9625,0.9681,0,0,0.0,0,0,0,,11,7
disease,infection,N,7.15,0.9842,0.9568,0,0,0.0,0,0,0,,13,7
arm,shoulder,N,4.85,0.9436,0.9527,0,0,0.0,0,0,0,,10,9
sheep,lamb,N,8.42,0.9784,0.9337,1,3,0.044776,0,1,1,,9,6
lady,gentleman,N,3.42,0.9418,1.0,0,2,0.030303,0,0,0,,7,8
boat,anchor,N,2.25,0.9459,0.9481,0,0,0.0,0,0,0,,12,8
priest,monk,N,6.28,0.9517,0.9529,0,2,0.035088,0,0,0,,8,9
toe,finger,N,4.68,0.9525,0.9462,0,0,0.0,0,0,0,,8,10
river,stream,N,7.3,1.0,0.9264,0,0,0.0,0,0,0,,6,15
anger,fury,N,8.73,0.9566,0.9249,1,3,0.040541,0,0,0,,7,7
date,calendar,N,4.42,0.9704,0.9508,0,0,0.0,0,0,0,,10,10
sea,ocean,N,8.27,0.955,0.9599,0,2,0.031746,0,0,0,,7,12
second,minute,N,4.62,0.9076,0.9497,0,0,0.0,0,0,0,,11,8
hand,thumb,N,3.88,0.9908,0.9788,0,0,0.0,0,0,0,,7,5
wood,log,N,7.3,1.0,0.9566,0,0,0.0,0,0,0,,7,8
mud,dirt,N,7.32,0.9634,0.952,0,0,0.0,0,0,0,,9,9
hallway,corridor,N,9.28,0.9029,0.9489,7,18,0.243243,1,1,1,,8,8
way,manner,N,7.62,0.923,0.9406,0,0,0.0,0,0,0,,9,4
mouse,cat,N,1.12,0.9521,0.9404,0,1,0.013699,0,0,0,,7,7
cop,sheriff,N,9.05,0.9296,0.9612,0,0,0.0,0,0,0,,10,5
death,burial,N,4.93,0.98,0.9487,0,0,0.0,0,0,0,,10,8
music,melody,N,6.98,0.979,0.9818,0,0,0.0,0,0,0,,9,8
beer,alcohol,N,7.5,0.942,1.0,0,3,0.046154,0,0,0,,9,9
mouth,lip,N,7.1,1.0,0.9896,0,0,0.0,0,0,0,,7,6
storm,hurricane,N,6.38,0.9572,0.9632,0,2,0.074074,0,0,0,,5,5
tax,income,N,2.38,0.9366,0.9476,0,2,0.038462,0,0,0,,7,10
flower,violet,N,6.95,0.9792,0.955,0,0,0.0,0,0,0,,7,8
paper,cardboard,N,5.38,0.9499,0.9221,0,0,0.0,0,0,0,,9,5
floor,ceiling,N,1.73,0.9573,0.9681,0,0,0.0,0,1,1,11,6,7
beach,seashore,N,8.33,0.9456,0.9441,0,0,0.0,0,0,0,,7,9
rod,curtain,N,3.03,0.941,0.9617,0,0,0.0,0,0,0,,9,10
hound,fox,N,2.38,0.9417,0.9607,0,0,0.0,0,0,0,,5,7
street,alley,N,5.48,0.9691,0.919,0,0,0.0,0,0,0,,8,6
boat,deck,N,4.28,0.9459,0.9053,0,0,0.0,0,0,0,,12,10
car,horn,N,2.57,0.9492,0.9792,0,0,0.0,0,0,0,,6,8
friend,guest,N,4.25,1.0,0.9497,0,0,0.0,0,0,0,,8,9
employer,employee,N,3.65,0.9459,0.9849,5,10,0.196078,0,0,0,,11,8
hand,wrist,N,3.97,0.9908,0.9475,0,0,0.0,0,0,0,,7,9
ball,cannon,N,2.58,0.9384,0.9432,0,0,0.0,0,0,0,,10,12
alcohol,brandy,N,6.98,1.0,0.9581,0,0,0.0,0,0,0,,9,8
victory,triumph,N,8.98,0.9473,0.9269,0,1,0.017857,0,0,0,,10,8
telephone,booth,N,3.63,0.9684,0.9474,0,0,0.0,0,0,0,,8,8
door,doorway,N,5.4,0.9567,0.9166,10,20,0.338983,0,0,0,,10,9
motel,inn,N,8.17,1.0,0.943,0,0,0.0,0,0,0,,6,7
clothes,cloth,N,5.47,1.0,0.9725,0,2,0.035088,0,0,0,,7,7
steak,meat,N,7.47,0.9439,0.9457,0,0,0.0,0,0,0,,14,9
nail,thumb,N,3.55,0.9635,0.9788,0,0,0.0,0,0,0,,9,5
band,orchestra,N,7.08,0.9258,0.9366,0,1,0.013333,1,0,1,13,11,10
book,bible,N,5.0,1.0,0.9204,0,0,0.0,0,0,0,,10,5
business,industry,N,7.02,0.9392,0.9545,0,1,0.015625,1,0,1,,9,9
winter,season,N,6.27,0.9503,0.9348,2,5,0.080645,0,0,0,,7,9
decade,century,N,3.48,0.9539,0.9673,0,2,0.035714,0,0,0,,7,9
alcohol,gin,N,8.65,1.0,1.0,0,0,0.0,0,0,0,,9,9
hat,coat,N,2.67,0.9865,0.946,0,0,0.0,0,0,0,,10,8
window,door,N,3.33,0.9493,0.9567,0,0,0.0,0,0,0,,7,10
arm,wrist,N,3.57,0.9436,0.9475,0,0,0.0,0,0,0,,10,9
house,apartment,N,5.8,0.9558,0.9668,0,0,0.0,0,0,0,,10,6
glass,crystal,N,6.27,0.9827,0.9979,0,0,0.0,0,0,0,,7,5
wine,brandy,N,5.15,0.9499,0.9581,0,0,0.0,0,0,0,,9,8
creator,maker,N,9.62,0.9367,0.8948,2,6,0.077922,1,1,1,11,6,10
dinner,breakfast,N,3.33,0.9813,0.9872,0,0,0.0,0,0,0,,8,9
arm,muscle,N,3.72,0.9436,0.9824,0,0,0.0,0,0,0,,10,6
bubble,suds,N,8.57,0.9616,0.9296,0,0,0.0,0,0,0,,7,7
bread,flour,N,3.33,0.9503,0.9642,0,0,0.0,0,0,0,,8,8
death,tragedy,N,5.8,0.98,0.9459,0,0,0.0,0,0,0,,10,8
absence,presence,N,0.4,1.0,0.9618,0,0,0.0,1,0,1,12,8,7
gun,cannon,N,5.68,0.9379,0.9432,0,0,0.0,0,0,0,,6,12
grass,blade,N,4.57,0.9495,0.9333,0,0,0.0,0,0,0,,9,8
ball,basket,N,1.67,0.9384,0.952,0,0,0.0,0,0,0,,10,9
hose,garden,N,1.67,0.9544,0.951,0,0,0.0,0,0,0,,10,9
boy,kid,N,7.5,0.9313,0.9537,0,1,0.016949,0,0,0,,8,7
church,choir,N,2.95,0.9841,0.946,0,0,0.0,0,0,0,,8,8
clothes,drawer,N,3.02,1.0,0.9428,0,0,0.0,0,0,0,,7,8
tower,bell,N,1.9,0.9406,0.925,0,0,0.0,0,0,0,,11,7
father,parent,N,7.07,0.9901,0.939,0,0,0.0,0,0,0,,6,9
school,grade,N,4.42,0.9442,0.9539,0,0,0.0,0,0,0,,9,6
parent,adult,N,5.37,0.939,0.9871,0,0,0.0,0,0,0,,9,10
bar,jail,N,1.9,0.9285,0.9466,0,0,0.0,0,0,0,,7,8
car,highway,N,3.4,0.9492,0.9582,0,0,0.0,0,0,0,,6,6
dictionary,definition,N,6.25,0.9539,0.9296,0,0,0.0,0,0,0,,8,10
door,cellar,N,1.97,0.9567,0.941,0,2,0.027778,0,0,0,,10,8
army,legion,N,5.95,0.9698,0.9351,0,1,0.019608,0,0,0,,6,7
metal,aluminum,N,7.25,0.9877,0.9789,0,0,0.0,0,0,0,,7,8
chair,bench,N,6.67,0.9344,0.9388,0,0,0.0,0,0,0,,13,8
cloud,fog,N,6.0,0.9875,0.9667,0,0,0.0,0,0,0,,10,10
boy,son,N,6.75,0.9313,0.9271,0,0,0.0,0,0,0,,8,5
water,ice,N,6.47,1.0,0.967,0,0,0.0,0,0,0,,10,10
bed,blanket,N,3.02,0.9806,0.9245,0,0,0.0,0,0,0,,7,10
attorney,lawyer,N,9.35,0.9524,0.9422,0,4,0.060606,1,1,1,,8,11
area,zone,N,8.33,0.9257,0.9508,0,0,0.0,0,0,0,,7,11
business,company,N,9.02,0.9392,0.9389,0,0,0.0,0,0,0,,9,9
clothes,fabric,N,5.87,1.0,0.9589,0,1,0.013514,0,0,0,,7,10
sweater,jacket,N,7.15,0.9242,0.9612,0,0,0.0,0,0,0,,7,8
money,capital,N,6.67,1.0,0.954,0,0,0.0,0,0,0,,7,5
hand,foot,N,4.17,0.9908,0.9586,0,0,0.0,0,0,0,,7,7
alcohol,cocktail,N,6.73,1.0,0.9313,0,0,0.0,0,0,0,,9,11
yard,inch,N,3.78,0.9529,0.936,0,0,0.0,0,0,0,,8,5
molecule,atom,N,6.45,0.968,0.9618,0,1,0.013699,0,0,0,,10,7
lens,camera,N,4.28,0.9885,0.922,0,0,0.0,0,0,0,,7,12
meal,dinner,N,7.15,0.9454,0.9813,1,4,0.065574,0,1,1,,8,8
eye,tear,N,3.55,0.958,0.9371,0,0,0.0,0,0,0,,7,10
god,devil,N,1.8,0.9503,0.9723,0,2,0.038462,1,1,1,13,8,7
loop,belt,N,3.1,0.9412,0.943,0,0,0.0,0,0,0,,10,9
rat,mouse,N,7.78,0.9605,0.9521,0,0,0.0,0,0,0,,11,7
motor,engine,N,8.65,0.974,0.9382,0,2,0.021277,0,0,0,,7,12
car,cab,N,7.42,0.9492,0.95,0,0,0.0,0,0,0,,6,8
cat,lion,N,6.75,0.9404,0.9505,0,0,0.0,0,0,0,,7,7
size,magnitude,N,6.33,0.9767,0.9662,0,0,0.0,0,0,0,,8,6
reality,fantasy,N,1.03,0.9483,0.9408,0,0,0.0,1,0,1,12,9,7
door,gate,N,5.25,0.9567,0.9551,0,1,0.015873,0,1,1,,10,6
cat,pet,N,5.95,0.9404,0.94,0,0,0.0,0,0,0,,7,8
tin,aluminum,N,6.42,0.9826,0.9789,0,1,0.020833,1,0,1,,8,8
bone,jaw,N,4.17,1.0,0.9672,0,0,0.0,0,0,0,,6,7
cereal,wheat,N,3.75,0.9507,0.9596,0,0,0.0,0,0,0,,9,10
house,key,N,1.9,0.9558,0.9431,0,0,0.0,0,0,0,,10,10
blood,flesh,N,4.28,0.9503,0.9762,0,0,0.0,0,0,0,,8,7
door,corridor,N,3.73,0.9567,0.9489,0,0,0.0,0,0,0,,10,8
god,spirit,N,7.3,0.9503,0.9814,0,0,0.0,0,0,0,,8,11
capability,competence,N,7.62,0.9208,0.9603,0,0,0.0,0,0,0,,5,8
abundance,plenty,N,8.97,1.0,0.9326,3,8,0.173913,1,0,1,,8,7
sofa,chair,N,6.67,0.9482,0.9344,0,0,0.0,0,0,0,,6,13
wall,brick,N,4.68,0.9507,0.9582,0,3,0.0375,0,0,0,,12,10
horn,drum,N,2.68,0.9792,0.9533,0,0,0.0,0,0,0,,8,10
organ,liver,N,6.15,0.9577,0.9686,0,0,0.0,0,0,0,,9,10
strength,might,N,7.07,0.9749,0.9463,0,0,0.0,0,0,0,,6,8
phrase,word,N,5.48,0.9327,0.9867,0,2,0.022222,0,0,0,,8,7
band,parade,N,3.92,0.9258,0.9558,0,0,0.0,0,0,0,,11,7
stomach,waist,N,5.9,0.9912,0.9468,0,0,0.0,0,0,0,,7,9
cloud,storm,N,5.6,0.9875,0.9572,0,0,0.0,0,0,0,,10,5
joy,pride,N,5.0,0.9543,0.9444,0,0,0.0,0,0,0,,6,4
noise,rattle,N,6.17,0.938,0.9606,0,0,0.0,0,0,0,,13,8
rain,mist,N,5.97,0.9532,0.9633,0,0,0.0,0,0,0,,7,9
beer,beverage,N,5.42,0.942,0.9569,0,2,0.025316,0,0,0,,9,10
man,uncle,N,3.92,0.9682,0.9559,0,1,0.018182,0,0,0,,8,7
apple,juice,N,2.88,0.9437,0.9415,0,0,0.0,0,0,0,,5,8
intelligence,logic,N,6.5,0.9646,0.9547,0,0,0.0,0,0,0,,7,7
communication,language,N,7.47,0.947,0.9847,0,0,0.0,0,0,0,,6,5
mink,fur,N,6.83,0.9263,0.9817,0,0,0.0,0,0,0,,7,7
mob,crowd,N,7.85,0.9288,0.9599,0,0,0.0,0,0,0,,8,9
shore,coast,N,8.83,0.9669,0.9635,0,0,0.0,0,0,0,,6,8
wire,cord,N,7.62,0.9492,0.9432,0,0,0.0,0,0,0,,11,6
bird,turkey,N,6.58,0.9865,0.896,0,0,0.0,0,0,0,,7,11
bed,crib,N,7.3,0.9806,0.9442,0,0,0.0,0,0,0,,7,8
competence,ability,N,7.5,0.9603,0.953,0,0,0.0,0,0,0,,8,5
cloud,haze,N,7.32,0.9875,0.9552,0,2,0.031746,0,0,0,,10,7
supper,meal,N,7.53,0.9569,0.9454,1,4,0.068966,0,0,0,,9,8
bar,cage,N,2.8,0.9285,0.9571,0,0,0.0,0,0,0,,7,9
water,salt,N,1.3,1.0,0.9597,0,0,0.0,0,0,0,,10,9
sense,intuition,N,7.68,0.9467,0.9726,0,0,0.0,0,0,0,,6,9
situation,condition,N,6.58,0.9433,0.9457,0,0,0.0,0,0,0,,9,6
crime,theft,N,7.53,0.9551,0.946,0,0,0.0,0,0,0,,6,10
style,fashion,N,8.5,0.9331,0.9479,0,7,0.08046,0,0,0,,11,10
boundary,border,N,9.08,0.9666,0.9764,0,0,0.0,0,0,0,,8,12
arm,body,N,4.05,0.9436,0.9879,0,0,0.0,0,0,0,,10,6
boat,car,N,2.37,0.9459,0.9492,0,0,0.0,0,0,0,,12,6
sandwich,lunch,N,6.3,0.9504,0.948,0,0,0.0,0,0,0,,5,10
bride,princess,N,2.8,0.9412,0.945,0,0,0.0,0,0,0,,6,6
heroine,hero,N,8.78,0.9147,0.9455,1,7,0.107692,0,0,0,,7,9
car,gauge,N,1.13,0.9492,0.9347,0,0,0.0,0,0,0,,6,7
insect,bee,N,6.07,0.9772,0.9499,0,0,0.0,0,0,0,,9,10
crib,cradle,N,8.55,0.9442,0.9703,0,0,0.0,0,0,0,,8,8
animal,person,N,3.05,0.9873,0.9744,0,0,0.0,0,0,0,,8,6
marijuana,herb,N,6.5,0.968,0.9862,0,0,0.0,0,0,0,,7,9
bed,hospital,N,0.92,0.9806,0.9565,0,1,0.016949,0,0,0,,7,8
cheek,tongue,N,4.52,0.9748,0.9925,0,0,0.0,0,0,0,,7,10
disc,computer,N,3.2,0.9266,0.944,0,0,0.0,0,0,0,,9,6
curve,angle,N,3.33,0.9624,0.9499,0,0,0.0,0,0,0,,10,8
grass,moss,N,5.0,0.9495,0.9799,0,0,0.0,0,0,0,,9,9
school,law,N,1.13,0.9442,0.9861,0,0,0.0,0,0,0,,9,8
foot,head,N,2.3,0.9586,0.9932,0,0,0.0,0,0,0,,7,6
mother,guardian,N,6.5,1.0,0.9475,0,0,0.0,0,0,0,,8,6
orthodontist,dentist,N,8.27,0.9547,0.9883,0,2,0.025,0,0,0,,7,10
alcohol,whiskey,N,7.27,1.0,0.9799,0,2,0.037736,0,0,0,,9,6
mouth,tooth,N,6.3,1.0,1.0,0,0,0.0,0,0,0,,7,9
breakfast,bacon,N,4.37,0.9872,0.9549,0,0,0.0,0,0,0,,9,8
bathroom,bedroom,N,3.4,0.9566,0.9668,0,2,0.026667,0,0,0,,8,8
plate,bowl,N,5.23,0.9342,0.943,0,0,0.0,0,0,0,,13,8
meat,bacon,N,5.8,0.9457,0.9549,0,0,0.0,0,0,0,,9,8
air,helium,N,3.63,0.9813,0.945,0,0,0.0,0,0,0,,8,7
worker,employer,N,5.37,0.9393,0.9459,0,0,0.0,0,0,0,,8,11
body,chest,N,4.45,0.9879,0.9738,0,0,0.0,0,0,0,,6,7
son,father,N,3.82,0.9271,0.9901,0,0,0.0,0,0,0,,5,6
heart,surgery,N,1.08,0.9685,1.0,0,0,0.0,0,0,0,,5,7
woman,secretary,N,1.98,0.979,0.9624,0,0,0.0,0,0,0,,7,7
man,father,N,4.83,0.9682,0.9901,0,0,0.0,0,0,0,,8,6
beach,island,N,5.6,0.9456,0.946,0,0,0.0,0,0,0,,7,6
