word1,word2,score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
computer,news,4.47,0.944,0.9251,0,0,0.0,0,0,0,,6,10
consumer,confidence,4.13,0.9326,0.9583,0,0,0.0,0,0,0,,10,8
consumer,energy,4.75,0.9326,0.9509,0,0,0.0,0,0,0,,10,7
crane,implement,2.69,0.9336,0.9377,0,0,0.0,0,0,0,,9,8
cucumber,potato,5.92,0.9532,1.0,0,0,0.0,0,0,0,,9,6
cup,article,2.4,0.9459,0.9772,0,0,0.0,0,0,0,,12,9
cup,artifact,2.92,0.9459,0.9503,0,0,0.0,0,0,0,,12,12
cup,entity,2.15,0.9459,0.9629,0,0,0.0,0,0,0,,12,4
cup,food,5.0,0.9459,1.0,0,0,0.0,0,0,0,,12,7
cup,object,3.69,0.9459,0.9378,0,0,0.0,0,0,0,,12,8
cup,substance,1.92,0.9459,0.9592,0,0,0.0,0,0,0,,12,6
cup,tableware,6.85,0.9459,0.9453,0,0,0.0,0,0,0,,12,8
delay,news,3.31,0.9458,0.9251,0,0,0.0,0,0,0,,8,10
delay,racism,1.19,0.9458,0.9512,0,0,0.0,0,0,0,,8,6
deployment,departure,4.25,0.9437,1.0,0,0,0.0,0,0,0,,10,6
development,issue,3.97,0.9801,0.9141,0,0,0.0,0,0,0,,8,9
direction,combination,2.25,0.9665,0.9463,0,0,0.0,0,0,0,,11,7
dividend,payment,7.63,0.9398,0.9526,0,0,0.0,0,0,0,,8,6
doctor,nurse,7.0,0.9465,0.9428,0,0,0.0,0,0,0,,9,9
doctor,personnel,5.0,0.9465,0.9473,0,0,0.0,0,0,0,,9,6
dollar,buck,9.22,0.9425,0.9318,0,0,0.0,0,0,0,,7,8
dollar,yen,7.78,0.9425,0.8995,3,10,0.16129,1,0,1,,7,8
drink,car,3.04,0.988,0.9492,0,0,0.0,0,0,0,,8,6
drink,ear,1.31,0.988,1.0,0,0,0.0,0,0,0,,8,7
drink,eat,6.87,0.988,0.9459,0,0,0.0,0,0,0,,8,7
drink,mother,2.65,0.988,1.0,0,0,0.0,0,0,0,,8,8
energy,secretary,1.81,0.9509,0.9624,0,0,0.0,0,0,0,,7,7
experience,music,3.47,0.9296,0.979,0,0,0.0,0,0,0,,6,9
five,month,3.38,1.0,0.9847,0,0,0.0,0,0,0,,6,9
focus,life,4.06,0.9539,0.9683,0,0,0.0,0,0,0,,10,9
food,fruit,7.52,1.0,1.0,0,0,0.0,0,0,0,,7,10
food,rooster,4.42,1.0,0.9549,0,0,0.0,0,0,0,,7,8
football,basketball,6.81,0.949,0.9726,0,0,0.0,0,0,0,,8,9
football,soccer,9.03,0.949,0.9287,0,3,0.054545,0,0,0,,8,7
football,tennis,6.63,0.949,0.9476,0,0,0.0,0,0,0,,8,7
forest,graveyard,1.85,0.9514,0.9534,0,0,0.0,0,0,0,,5,8
fuck,sex,9.44,0.9677,0.9453,0,0,0.0,0,0,0,,9,7
furnace,stove,8.79,0.955,0.957,0,0,0.0,0,0,0,,11,7
gem,jewel,8.96,0.9443,0.9408,1,8,0.109589,0,1,1,,8,9
glass,magician,2.08,0.9827,0.9436,0,0,0.0,0,0,0,,7,6
glass,metal,5.56,0.9827,0.9877,0,0,0.0,0,0,0,,7,7
governor,interview,3.25,0.9464,0.9405,0,0,0.0,0,0,0,,7,13
harvard,yale,8.13,0.8109,0.8724,0,2,0.017391,0,0,0,,8,10
holy,sex,1.62,0.9339,0.9453,0,0,0.0,0,0,0,,9,7
hospital,infrastructure,4.63,0.9565,0.9464,0,0,0.0,0,0,0,,8,8
image,surface,4.56,0.923,0.9839,0,0,0.0,0,0,0,,8,8
investigation,effort,4.59,0.9481,0.9279,0,0,0.0,0,0,0,,9,7
jaguar,car,7.27,1.0,0.9492,0,0,0.0,0,0,0,,6,6
jaguar,cat,7.42,1.0,0.9404,0,0,0.0,0,0,0,,6,7
japanese,american,6.5,0.875,0.8697,1,8,0.070175,0,0,0,,10,7
journal,association,4.97,0.9395,0.9505,0,0,0.0,0,0,0,,10,9
journey,voyage,9.29,0.9022,0.9081,1,3,0.030303,0,0,0,,9,8
king,cabbage,0.23,0.9605,0.9495,0,0,0.0,0,0,0,,6,10
king,queen,8.58,0.9605,0.9485,0,1,0.013699,0,0,0,,6,11
king,rook,5.92,0.9605,0.9414,0,0,0.0,0,0,0,,6,7
lad,brother,4.46,0.9534,0.9887,0,0,0.0,0,0,0,,5,8
lad,wizard,0.92,0.9534,0.9458,0,0,0.0,0,0,0,,5,8
life,death,7.88,0.9683,0.98,0,0,0.0,0,0,0,,9,10
life,term,4.5,0.9683,0.9343,0,0,0.0,0,0,0,,9,10
line,insurance,2.69,0.9563,0.9617,0,0,0.0,0,0,0,,6,7
liquid,water,7.89,0.9881,1.0,0,1,0.014085,0,0,0,,10,10
listing,proximity,2.56,0.9024,0.9728,0,0,0.0,0,0,0,,7,7
lobster,food,7.81,0.9658,1.0,0,0,0.0,0,0,0,,10,7
lobster,wine,5.7,0.9658,0.9499,0,0,0.0,0,0,0,,10,9
magician,wizard,9.02,0.9436,0.9458,0,2,0.039216,0,0,0,,6,8
man,governor,5.25,0.9682,0.9464,0,0,0.0,0,0,0,,8,7
man,woman,8.3,0.9682,0.979,0,2,0.032258,1,1,1,13,8,7
marathon,sprint,7.47,0.9149,0.9137,0,5,0.0625,0,0,0,,9,6
mars,water,2.94,0.8665,1.0,0,0,0.0,0,0,0,,13,10
media,gain,2.88,0.952,0.9465,0,0,0.0,0,0,0,,8,11
media,radio,7.42,0.952,0.9463,0,0,0.0,0,0,0,,8,8
media,trading,3.88,0.952,0.9294,0,0,0.0,0,0,0,,8,11
mexico,brazil,7.44,0.8485,0.8877,0,0,0.0,0,0,0,,8,9
midday,noon,9.29,0.9474,0.9603,5,9,0.28125,0,0,0,,7,7
mile,kilometer,8.66,0.9546,0.9482,2,5,0.096154,1,0,1,,8,6
ministry,culture,4.69,0.9319,0.9605,0,0,0.0,0,0,0,,9,9
minority,peace,3.69,0.9338,0.9406,0,0,0.0,0,0,0,,7,9
money,cash,9.15,1.0,0.9588,7,18,0.28125,0,0,0,,7,11
money,currency,9.04,1.0,0.9511,0,1,0.013514,0,0,0,,7,9
money,dollar,8.42,1.0,0.9425,0,0,0.0,0,0,0,,7,7
money,operation,3.31,1.0,0.933,0,0,0.0,0,0,0,,7,3
monk,oracle,5.0,0.9529,0.9277,0,0,0.0,0,0,0,,9,6
monk,slave,0.92,0.9529,1.0,0,0,0.0,0,0,0,,9,9
month,hotel,1.81,0.9847,0.9284,0,0,0.0,0,0,0,,9,12
morality,importance,3.31,0.9732,0.946,0,0,0.0,0,0,0,,8,7
morality,marriage,3.69,0.9732,0.9624,0,0,0.0,0,0,0,,8,8
murder,manslaughter,8.53,1.0,0.9359,0,2,0.034483,0,0,0,,7,7
museum,theater,7.19,0.9463,0.947,0,1,0.014085,0,0,0,,10,7
music,project,3.63,0.979,0.9115,0,0,0.0,0,0,0,,9,7
noon,string,0.54,0.9603,0.9455,0,0,0.0,0,0,0,,7,5
observation,architecture,4.38,0.9866,0.9523,0,0,0.0,0,0,0,,8,10
opera,industry,2.63,0.9422,0.9545,0,0,0.0,0,0,0,,6,9
opera,performance,6.88,0.9422,0.9295,0,0,0.0,0,0,0,,6,7
peace,atmosphere,3.69,0.9406,0.9913,0,0,0.0,0,0,0,,9,6
peace,insurance,2.94,0.9406,0.9617,0,0,0.0,0,0,0,,9,7
peace,plan,4.75,0.9406,0.9302,0,0,0.0,0,0,0,,9,9
phone,equipment,7.13,0.9788,0.9435,0,0,0.0,0,0,0,,10,9
physics,chemistry,7.35,0.9422,0.947,0,0,0.0,0,0,0,,9,12
plane,car,5.77,0.9462,0.9492,0,1,0.015385,0,0,0,,7,6
planet,moon,8.08,0.9538,0.9907,0,0,0.0,0,0,0,,9,8
planet,star,8.45,0.9538,0.9459,0,0,0.0,0,0,0,,9,8
planet,sun,8.02,0.9538,0.9584,0,0,0.0,0,0,0,,9,11
population,development,3.75,0.9424,0.9801,0,0,0.0,0,0,0,,11,8
possibility,girl,1.94,0.9465,0.9076,0,0,0.0,0,0,0,,9,9
practice,institution,3.19,0.9323,0.9623,0,0,0.0,0,0,0,,7,8
precedent,antecedent,6.04,0.9654,0.933,0,0,0.0,0,0,0,,10,6
precedent,cognition,2.81,0.9654,0.9647,0,0,0.0,0,0,0,,10,8
precedent,collection,2.5,0.9654,0.9444,0,0,0.0,0,0,0,,10,7
precedent,example,5.85,0.9654,0.9528,0,0,0.0,0,0,0,,10,11
precedent,group,1.77,0.9654,0.9504,0,0,0.0,0,0,0,,10,9
precedent,information,3.85,0.9654,0.9592,0,0,0.0,0,0,0,,10,7
prejudice,recognition,3.0,0.9663,0.9597,0,0,0.0,0,0,0,,8,7
president,medal,3.0,0.9133,0.9485,0,0,0.0,0,0,0,,9,10
problem,airport,2.38,0.9774,0.9584,0,0,0.0,0,0,0,,11,6
production,hike,1.75,1.0,0.9296,0,0,0.0,0,0,0,,7,10
professor,cucumber,0.31,0.9507,0.9532,0,0,0.0,0,0,0,,6,9
professor,doctor,6.62,0.9507,0.9465,0,0,0.0,0,0,0,,6,9
profit,loss,7.63,0.9422,0.9642,0,1,0.014706,0,0,0,,8,9
profit,warning,3.88,0.9422,0.9316,0,0,0.0,0,0,0,,8,7
psychology,discipline,5.58,0.9806,0.9443,0,0,0.0,0,0,0,,10,12
psychology,psychiatry,8.08,0.9806,0.9628,0,0,0.0,0,0,0,,10,6
psychology,science,6.71,0.9806,0.9473,0,0,0.0,0,0,0,,10,8
reason,hypertension,2.31,0.9414,0.9624,0,0,0.0,0,0,0,,7,7
report,gain,3.63,0.9216,0.9465,0,0,0.0,0,0,0,,7,11
rock,jazz,7.59,0.9518,0.9596,0,0,0.0,0,0,0,,7,10
rooster,voyage,0.62,0.9549,0.9081,0,0,0.0,0,0,0,,8,8
school,center,3.44,0.9442,0.9783,0,0,0.0,0,0,0,,9,6
seafood,food,8.34,0.932,1.0,0,0,0.0,0,0,0,,10,7
seafood,lobster,8.7,0.932,0.9658,0,0,0.0,0,0,0,,10,10
seven,series,3.56,1.0,0.9657,0,0,0.0,0,0,0,,6,7
shore,woodland,3.08,0.9669,0.9416,0,0,0.0,0,0,0,,6,8
shower,thunderstorm,6.31,0.9412,0.9515,0,0,0.0,0,0,0,,11,7
sign,recess,2.38,0.9419,0.9395,0,0,0.0,0,0,0,,6,8
situation,conclusion,4.81,0.9433,0.9687,0,0,0.0,0,0,0,,9,7
situation,isolation,3.88,0.9433,0.9607,0,0,0.0,0,0,0,,9,7
skin,eye,6.22,0.9527,0.958,0,0,0.0,0,0,0,,9,7
smart,student,4.62,0.9673,0.953,0,0,0.0,0,0,0,,9,6
smart,stupid,5.81,0.9673,1.0,0,0,0.0,0,1,1,,9,4
space,chemistry,4.88,0.971,0.947,0,0,0.0,0,0,0,,7,12
start,match,4.47,0.9406,0.9291,0,0,0.0,0,0,0,,9,7
start,year,4.06,0.9406,0.9402,0,0,0.0,0,0,0,,9,7
stock,cd,1.31,0.9407,0.8593,0,0,0.0,0,0,0,,11,12
stock,egg,1.81,0.9407,0.963,0,0,0.0,0,0,0,,11,9
stock,jaguar,0.92,0.9407,1.0,0,0,0.0,0,0,0,,11,6
stock,life,0.92,0.9407,0.9683,0,0,0.0,0,0,0,,11,9
stock,live,3.73,0.9407,0.9481,0,0,0.0,0,0,0,,11,8
stock,phone,1.62,0.9407,0.9788,0,0,0.0,0,0,0,,11,10
street,avenue,8.88,0.9691,0.9412,0,1,0.014925,1,0,1,11,8,7
street,block,6.88,0.9691,0.9495,0,0,0.0,0,0,0,,8,10
street,children,4.94,0.9691,0.9792,0,0,0.0,0,0,0,,8,6
street,place,6.44,0.9691,1.0,0,0,0.0,0,0,0,,8,9
student,professor,6.81,0.953,0.9507,0,0,0.0,0,0,0,,6,6
sugar,approach,0.88,0.9879,0.9465,0,0,0.0,0,0,0,,7,9
television,radio,6.77,0.9533,0.9463,0,0,0.0,0,0,0,,10,8
theater,history,3.91,0.947,0.9979,0,0,0.0,0,0,0,,7,7
tiger,animal,7.0,0.9552,0.9873,0,0,0.0,0,0,0,,9,8
tiger,carnivore,7.08,0.9552,0.9629,0,0,0.0,0,0,0,,9,10
tiger,cat,7.35,0.9552,0.9404,0,1,0.012048,0,0,0,,9,7
tiger,fauna,5.62,0.9552,0.9547,0,0,0.0,0,0,0,,9,10
tiger,feline,8.0,0.9552,0.9361,0,1,0.009615,0,1,1,13,9,10
tiger,jaguar,8.0,0.9552,1.0,0,2,0.028986,0,0,0,,9,6
tiger,mammal,6.85,0.9552,0.9771,0,0,0.0,0,0,0,,9,8
tiger,organism,4.77,0.9552,0.9662,0,0,0.0,0,0,0,,9,7
tiger,tiger,10.0,0.9552,0.9552,20,41,1.0,1,1,1,13,9,9
train,car,6.31,0.9671,0.9492,0,0,0.0,0,0,0,,9,6
travel,activity,5.0,0.944,0.9476,0,0,0.0,0,0,0,,9,7
type,kind,8.97,0.9442,0.9551,0,0,0.0,0,0,0,,9,6
viewer,serial,2.97,0.9071,0.9614,0,0,0.0,0,0,0,,8,6
vodka,brandy,8.13,0.9506,0.9581,0,0,0.0,0,0,0,,5,8
vodka,gin,8.46,0.9506,1.0,0,0,0.0,0,0,0,,5,9
volunteer,motto,2.56,0.9517,0.9556,0,0,0.0,0,0,0,,11,6
wednesday,news,2.22,0.8512,0.9251,0,0,0.0,0,0,0,,8,10
wood,forest,7.73,1.0,0.9514,0,0,0.0,0,0,0,,7,5
word,similarity,4.75,0.9867,0.9457,0,0,0.0,0,0,0,,7,6
